68,31266288,Epiphany,방탄소년단,120880,10197480,LOVE YOURSELF 結 `Answer`
69,31314142,우리 그만하자,로이킴,122259,10205438,우리 그만하자
70,31526249,습관 (Bad Habits),숀 (SHAUN),19535,10237804,안녕
71,31302310,헤어지는 중,펀치 (Punch),98861,10203500,헤어지는 중
72,31085244,Anpanman,방탄소년단,149795,10168559,LOVE YOURSELF 轉 `Tear`
73,31492322,Wait,EXO,68115,10232781,LOVE SHOT - The 5th Album Repackage
74,31470006,행복,오반,45768,10229387,행복
75,31344113,시간이 들겠지 (Feat. Colde),로꼬,97194,10210198,시간이 들겠지
76,31399726,Gravity,EXO,96024,10218750,DON`T MESS UP MY TEMPO - The 5th Album
77,30568338,에너제틱 (Energetic),Wanna One (워너원),286808,10085951,1X1=1(TO BE ONE)
78,31399725,닿은 순간 (Ooh La La La),EXO,93370,10218750,DON`T MESS UP MY TEMPO - The 5th Album
79,30669593,가을 안부,먼데이 키즈 (Monday Kiz),126780,10102177,가을 안부
80,30806536,Universe,EXO,186005,10122917,"Universe - 겨울 스페셜 앨범, 2017"
81,31399728,24/7,EXO,92050,10218750,DON`T MESS UP MY TEMPO - The 5th Album
82,31331745,이별길 (GOODBYE ROAD),iKON,84826,10208358,NEW KIDS : THE FINAL
83,31399731,여기 있을게 (Smile On My Face),EXO,87195,10218750,DON`T MESS UP MY TEMPO - The 5th Album
84,30725482,Beautiful,Wanna One (워너원),235224,10111029,1-1=0 (NOTHING WITHOUT YOU)
85,31399724,Sign,EXO,90158,10218750,DON`T MESS UP MY TEMPO - The 5th Album
86,3087601,Bohemian Rhapsody (2011 Remaster),Queen,89673,1123959,Greatest Hits (2011 Remaster)
87,30859584,사랑을 했다 (LOVE SCENARIO),iKON,279509,10132945,Return
88,31551385,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,25555,10241365,THEN & NOW
89,31568442,No Question,"매드클라운,스텔라장 (Stella Jang)",14403,10243997,No Question
90,31144690,"19금
IndiGO","저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",90479,10178566,IM
91,31219546,flex (Prod. By 기리보이),"기리보이,Kid Milli,NO:EL,스윙스",108054,10189965,Dingo X Indigo Music
92,31399730,Damage,EXO,83720,10218750,DON`T MESS UP MY TEMPO - The 5th Album
93,31399729,후폭풍 (Bad Dream),EXO,83611,10218750,DON`T MESS UP MY TEMPO - The 5th Album
94,31266286,Trivia 轉 : Seesaw,방탄소년단,115501,10197480,LOVE YOURSELF 結 `Answer`
95,31399727,가끔 (With You),EXO,84913,10218750,DON`T MESS UP MY TEMPO - The 5th Album
96,31399722,오아시스 (Oasis),EXO,86724,10218750,DON`T MESS UP MY TEMPO - The 5th Album
97,30960341,BOOMERANG (부메랑),Wanna One (워너원),144283,10144723,0+1=1 (I PROMISE YOU)
98,31457611,Wind flower,마마무(Mamamoo),50060,10227568,BLUE;S
99,30884950,그때 헤어지면 돼,로이킴,192258,10137574,그때 헤어지면 돼
100,31569905,이별을 걷다 (A Walk To Goodbye),황치열,6687,10244259,The Four Seasons
