1,31571110,신청곡 (Feat. SUGA of BTS),이소라,80452,10244499,신청곡 (Feat. SUGA of BTS)
2,31532643,넘쳐흘러,엠씨더맥스,84244,10238710,Circular
3,31565593,초록빛,폴킴,50069,10243480,초록빛
4,31532438,벌써 12시,청하,79918,10238683,벌써 12시
5,31554317,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",54755,10241866,Dingo X Indigo Music
6,31477685,180도,벤,121202,10230497,180˚
7,31406357,신용재,하은 (라코스테남),83806,10219644,신용재
8,31417871,SOLO,제니 (JENNIE),160987,10221424,SOLO
9,31388145,너를 만나,폴킴,162674,10217134,너를 만나
10,31448480,아낙네,MINO (송민호),143041,10226163,XX
11,31506637,MILLIONS,WINNER,103826,10234872,MILLIONS
12,31570736,Home,세븐틴,38715,10244395,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`
13,31492319,Love Shot,EXO,122606,10232781,LOVE SHOT - The 5th Album Repackage
14,31455159,너도 그냥 날 놓아주면 돼,윤건,45634,10227145,너도 그냥 날 놓아주면 돼
15,30962526,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,236578,10149492,`키스 먼저 할까요?` OST Part.3
16,31403163,YES or YES,TWICE (트와이스),116864,10219298,YES or YES
17,31373277,내 생에 아름다운,케이윌,92434,10214874,뷰티 인사이드 OST Part.4
18,31266290,IDOL,방탄소년단,216128,10197480,LOVE YOURSELF 結 `Answer`
19,31399721,Tempo,EXO,168316,10218750,DON`T MESS UP MY TEMPO - The 5th Album
20,31556500,해야 (Sunrise),여자친구 (GFRIEND),32708,10242169,여자친구 The 2nd Album `Time for us`
21,31453551,흔한 이별,허각,38909,10226943,흔한 이별
22,31346009,삐삐,아이유,205217,10210535,삐삐
23,31542508,%%(응응),Apink (에이핑크),27253,10239951,PERCENT
24,31304766,이별하러 가는 길,임한별,72661,10203965,이별하러 가는 길
25,31314144,가을 타나 봐,바이브,113422,10205439,가을 타나 봐
26,31417922,아름답고도 아프구나,비투비,122293,10215293,HOUR MOMENT
27,31402611,"thank u, next",Ariana Grande,85051,10219179,"thank u, next"
28,31356458,고백,양다일,99300,10212203,고백
29,31495659,첫눈에,헤이즈 (Heize),51608,10233243,첫눈에
30,31570735,Good to Me,세븐틴,24766,10244395,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`
31,31151836,Way Back Home,숀 (SHAUN),250737,10179508,Take
32,31085237,FAKE LOVE,방탄소년단,269932,10168559,LOVE YOURSELF 轉 `Tear`
33,31570740,숨이 차,세븐틴,22919,10244395,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`
34,31570737,포옹,세븐틴,23576,10244395,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`
35,30244931,봄날,방탄소년단,379275,10037969,YOU NEVER WALK ALONE
36,31062863,열애중,벤,149485,10164839,RECIPE
37,31316695,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136711,10205805,하루도 그대를 사랑하지 않은 적이 없었다
38,31570738,칠리,세븐틴,21880,10244395,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`
39,31570739,Shhh,세븐틴,21540,10244395,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`
40,31486544,We all lie,하진,48039,10231822,SKY 캐슬 OST Part.4
41,31189085,어쩌나,세븐틴,74456,10185387,SEVENTEEN 5TH MINI ALBUM `YOU MAKE MY DAY`
